current_job_title,target_job_title,skills,education_level,years_of_experience,portfolio_strength,estimated_salary_usd,certifications,language_proficiency,remote_work_preference,projects_completed,communication_skills_rating
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,78536,Certified UX Designer,"English, German",Remote,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,84705,AWS Certified,"English, German",Onsite,9,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,86068,DataCamp Track,"English, German",Remote,12,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,79576,Certified UX Designer,"English, Hindi",Remote,8,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,71572,DataCamp Track,"English, German",Remote,10,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,88855,AWS Certified,"English, French",Remote,6,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,94385,Google Data Analytics,English,Remote,2,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,90857,Google Data Analytics,"English, French",Onsite,8,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,81548,Certified UX Designer,"English, Hindi",Remote,10,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,66815,Certified UX Designer,"English, Spanish",Hybrid,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,65933,Certified UX Designer,"English, German",Remote,10,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,77854,Scrum Master,"English, Hindi",Hybrid,8,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,67887,AWS Certified,"English, Spanish",Onsite,7,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,63703,PMP,"English, French",Onsite,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,72742,PMP,"English, Hindi",Onsite,2,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,101543,Certified UX Designer,"English, Hindi",Hybrid,7,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,82211,Certified UX Designer,"English, German",Hybrid,9,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,91049,PMP,"English, Hindi",Onsite,2,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,72560,Google Data Analytics,"English, French",Onsite,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,79032,None,English,Hybrid,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,66816,DataCamp Track,English,Onsite,10,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,95249,None,English,Onsite,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,88854,Certified UX Designer,English,Hybrid,3,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,57736,Google Data Analytics,"English, Spanish",Remote,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,75419,Certified UX Designer,"English, German",Remote,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,77518,AWS Certified,"English, German",Remote,7,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,80387,AWS Certified,"English, German",Onsite,8,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,84591,DataCamp Track,English,Onsite,9,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,83531,Certified UX Designer,"English, Hindi",Remote,4,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,81441,PMP,"English, Hindi",Remote,3,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,69804,PMP,"English, Hindi",Remote,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,82080,PMP,"English, Hindi",Remote,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,72442,Certified UX Designer,"English, German",Remote,7,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,97834,Google Data Analytics,"English, German",Onsite,13,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,71495,AWS Certified,"English, German",Remote,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,97223,AWS Certified,"English, French",Remote,4,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,83895,Microsoft Azure,"English, Hindi",Remote,2,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,73975,PMP,"English, Hindi",Remote,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,64735,Certified UX Designer,"English, German",Hybrid,12,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,106537,None,"English, German",Hybrid,9,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,79532,Certified UX Designer,English,Hybrid,5,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,81183,Google Data Analytics,"English, French",Onsite,4,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,65356,Microsoft Azure,"English, Spanish",Hybrid,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,85566,Certified UX Designer,"English, German",Onsite,11,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,61681,Microsoft Azure,"English, Spanish",Hybrid,2,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,103827,None,"English, German",Hybrid,10,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,81643,AWS Certified,"English, German",Onsite,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,77027,PMP,"English, Hindi",Onsite,5,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,84968,Scrum Master,"English, French",Remote,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,60673,Certified UX Designer,"English, Spanish",Onsite,7,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,86750,AWS Certified,"English, Spanish",Hybrid,3,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,97571,AWS Certified,"English, Spanish",Hybrid,2,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,91006,None,English,Onsite,7,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,65563,Google Data Analytics,"English, Spanish",Remote,1,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,81390,Certified UX Designer,"English, Spanish",Hybrid,3,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,77195,Certified UX Designer,English,Hybrid,3,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,83564,AWS Certified,"English, Spanish",Onsite,8,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,74637,Certified UX Designer,English,Hybrid,2,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,80589,Certified UX Designer,English,Hybrid,2,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,73739,None,English,Hybrid,8,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,90316,AWS Certified,"English, Spanish",Hybrid,1,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,72673,Certified UX Designer,"English, Hindi",Remote,5,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,82789,AWS Certified,"English, Spanish",Onsite,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,65792,AWS Certified,"English, Spanish",Onsite,7,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,96728,Microsoft Azure,"English, Hindi",Remote,3,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,85333,Google Data Analytics,"English, Hindi",Hybrid,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,63719,Microsoft Azure,"English, Spanish",Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,63571,Google Data Analytics,"English, Spanish",Hybrid,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,82312,AWS Certified,"English, German",Remote,5,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,96269,Google Data Analytics,"English, French",Onsite,4,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,85174,DataCamp Track,English,Onsite,8,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,52820,Google Data Analytics,"English, Spanish",Remote,1,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,97690,Certified UX Designer,"English, Hindi",Hybrid,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,70721,PMP,"English, French",Onsite,3,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,108665,Google Data Analytics,English,Remote,1,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,108993,Microsoft Azure,"English, Hindi",Remote,1,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,98147,Google Data Analytics,English,Remote,5,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,88294,Google Data Analytics,"English, German",Onsite,10,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,106006,Google Data Analytics,English,Remote,2,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,87673,Certified UX Designer,"English, Hindi",Hybrid,3,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,79724,Certified UX Designer,"English, German",Onsite,8,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,66367,None,English,Hybrid,6,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,69799,Scrum Master,"English, French",Hybrid,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,65050,Certified UX Designer,"English, German",Remote,6,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,90272,Microsoft Azure,"English, Spanish",Onsite,11,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,68757,Scrum Master,English,Remote,7,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,63694,Google Data Analytics,"English, Spanish",Hybrid,9,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,54382,Microsoft Azure,"English, Spanish",Hybrid,1,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,101873,Certified UX Designer,"English, Hindi",Hybrid,3,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,92986,PMP,"English, Hindi",Onsite,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,83563,Microsoft Azure,"English, Spanish",Onsite,12,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,63907,AWS Certified,"English, French",Hybrid,13,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,68211,AWS Certified,"English, German",Remote,4,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,88194,Scrum Master,"English, French",Hybrid,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,94572,Google Data Analytics,"English, Hindi",Hybrid,11,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,84130,None,English,Onsite,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,65907,Google Data Analytics,"English, Spanish",Hybrid,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,87086,AWS Certified,"English, German",Onsite,8,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,89732,None,English,Onsite,9,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,68173,Certified UX Designer,"English, Hindi",Remote,12,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,72809,DataCamp Track,English,Onsite,7,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,97553,Google Data Analytics,English,Remote,3,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,79335,Google Data Analytics,"English, French",Onsite,6,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,67286,Scrum Master,"English, Hindi",Hybrid,6,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,High,102670,Microsoft Azure,"English, Hindi",Remote,7,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,74936,Certified UX Designer,"English, Hindi",Remote,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,94298,Certified UX Designer,English,Hybrid,4,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,87687,AWS Certified,"English, French",Remote,3,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,105467,Certified UX Designer,"English, Hindi",Hybrid,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,80076,DataCamp Track,"English, Spanish",Remote,12,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,69611,PMP,"English, Hindi",Remote,4,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,73721,PMP,"English, French",Onsite,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,77240,AWS Certified,"English, German",Remote,4,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,62837,Microsoft Azure,"English, Spanish",Hybrid,1,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,85327,Certified UX Designer,"English, Hindi",Remote,12,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,80610,DataCamp Track,English,Onsite,7,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,95407,Google Data Analytics,"English, French",Onsite,8,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,84920,DataCamp Track,English,Onsite,7,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,67554,AWS Certified,"English, French",Remote,6,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,84539,Certified UX Designer,"English, German",Remote,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,81726,DataCamp Track,"English, Spanish",Remote,9,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,81693,PMP,"English, Hindi",Remote,5,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,64482,Certified UX Designer,"English, Hindi",Remote,8,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,73061,AWS Certified,"English, German",Remote,5,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,77017,Microsoft Azure,"English, Spanish",Onsite,13,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,76350,AWS Certified,"English, Spanish",Onsite,6,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,79373,PMP,"English, Hindi",Remote,6,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,61345,Scrum Master,English,Remote,7,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,68023,DataCamp Track,"English, Spanish",Remote,13,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,64900,DataCamp Track,"English, Spanish",Remote,13,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,89307,Certified UX Designer,"English, Hindi",Remote,8,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,57909,AWS Certified,"English, French",Hybrid,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,70963,Certified UX Designer,"English, Spanish",Onsite,5,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,76575,Scrum Master,"English, Hindi",Hybrid,5,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,77371,AWS Certified,"English, French",Remote,4,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,70202,AWS Certified,"English, French",Hybrid,13,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,91700,AWS Certified,"English, French",Remote,3,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,80515,Certified UX Designer,English,Hybrid,5,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,55657,Scrum Master,English,Remote,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,89774,Certified UX Designer,"English, German",Onsite,8,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,91221,None,English,Onsite,8,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,76961,PMP,"English, French",Onsite,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,65348,Google Data Analytics,"English, French",Remote,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,79597,Scrum Master,"English, Hindi",Hybrid,4,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,101799,Google Data Analytics,English,Onsite,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,65866,Certified UX Designer,"English, Hindi",Remote,12,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,85788,None,English,Onsite,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,57696,Google Data Analytics,"English, Spanish",Hybrid,7,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,73564,Scrum Master,"English, French",Remote,8,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,67038,AWS Certified,"English, Spanish",Onsite,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,79763,Certified UX Designer,"English, German",Onsite,10,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,76648,PMP,"English, Hindi",Remote,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,60215,Microsoft Azure,"English, Spanish",Hybrid,1,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,72651,DataCamp Track,"English, German",Remote,9,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,66320,PMP,"English, French",Onsite,5,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,96047,Certified UX Designer,English,Hybrid,6,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,67186,AWS Certified,"English, Spanish",Onsite,8,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,72122,AWS Certified,"English, French",Remote,2,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,77310,PMP,"English, Hindi",Onsite,6,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,101709,None,"English, German",Hybrid,10,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,68373,Microsoft Azure,"English, Spanish",Hybrid,1,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,80701,AWS Certified,"English, German",Onsite,12,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,80515,DataCamp Track,"English, German",Remote,12,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,84810,PMP,"English, Hindi",Onsite,2,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,67911,PMP,"English, French",Onsite,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,74299,None,English,Hybrid,8,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,85452,Certified UX Designer,"English, Hindi",Remote,12,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,89093,AWS Certified,"English, French",Remote,1,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,85699,Certified UX Designer,"English, Hindi",Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,66451,Google Data Analytics,"English, Spanish",Hybrid,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,70137,Certified UX Designer,"English, Hindi",Remote,12,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,81713,AWS Certified,"English, German",Remote,4,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,60407,Google Data Analytics,"English, French",Remote,8,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,96491,None,English,Onsite,6,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,69888,None,"English, German",Remote,5,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,82923,Google Data Analytics,English,Remote,4,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,70660,None,"English, German",Remote,8,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,72582,AWS Certified,"English, German",Remote,8,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,85172,Google Data Analytics,English,Onsite,6,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,83371,AWS Certified,"English, Spanish",Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,67756,PMP,"English, French",Onsite,4,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,70150,DataCamp Track,"English, German",Remote,13,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,57467,Microsoft Azure,"English, Spanish",Hybrid,1,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,66112,Certified UX Designer,"English, German",Hybrid,12,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,66580,Certified UX Designer,"English, Hindi",Remote,4,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,77657,Google Data Analytics,"English, French",Onsite,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,83979,PMP,"English, Hindi",Remote,3,5
